Location and Name of Building in Which Polling Station Located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
"PANCHAYAT UNION MIDDLE SCHOOL, SOUTHERN BUILDING EASTERN PORTION, KUNIYUR",1,Tamilaga Vettri Kazhagam,1
"PANCHAYAT UNION MIDDLE SCHOOL, SOUTHERN PORTION SANNATHI STREET, VICKRAMASINGAPURAM",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION MIDDLE SCHOOL, VEBBANKULAM, KODARANKULAM.",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION MIDDLE SCHOOL, WESTERN BUILDING SSA NORTHERN PORTION KUMARAKOIL EAST CAR STREET, KALLIDAIKURICHI",1,Indian National Congress,1
"PANCHAYAT UNION PRIMARY SCHOOL ,SOUTH PORTION DESAMANICKKAM",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL ,SOUTHERN BUILDING WEST SIDE MANNARKOVIL",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL NORTH SIDE,PATHAMADAI",1,Indian National Congress,1
"PANCHAYAT UNION PRIMARY SCHOOL, ANNA MEMORIAL HALL, SOUTH BUILDING, NORTHERN PORTION, KALLIDAIKURICHI",1,Indian National Congress,1
"PANCHAYAT UNION PRIMARY SCHOOL, ANNA MEMORIAL HALL, SOUTH BUILDING,SOUTH PORTION, KALLIDAIKURICHI",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, BRANCH BUILDING EASTERN BUILDING KALLIDAIKURICHI",1,Indian National Congress,1
"PANCHAYAT UNION PRIMARY SCHOOL, BRANCH BUILDING SOUTHERN BUILDING KALLIDAIKURICHI",1,Indian National Congress,1
"PANCHAYAT UNION PRIMARY SCHOOL, EASTERN BUILDING PIRANCHERI",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, MAIN BUILDING, MELACHEVAL-1",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, MANIMUTHAR",1,Tamilaga Vettri Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, MIDDLE PORTION SERVALAR",1,Tamilaga Vettri Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, NEW BUILDING POTTAL, THERKKU KALLIDAIKURCHI",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, NEW BUILDING, UPPER DAM, VICKRAMASINGAPURAM",1,Indian National Congress,1
"PANCHAYAT UNION PRIMARY SCHOOL, NEW BUILDING, WESTERN SIDE, MALAYANKULAM",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, NORTH BUILDING, EASTERN SIDE, CHOKKALINGAPURAM",1,Tamilaga Vettri Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, NORTH BUILDING, WESTERN PORTION, CHOKKALINGAPURAM",1,Indian National Congress,1
"PANCHAYAT UNION PRIMARY SCHOOL, NORTH PORTION PIRANCHERI",1,Indian National Congress,1
"PANCHAYAT UNION PRIMARY SCHOOL, NORTHERN
BUILDING(Additional Building), PATHAMADAI.",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, NORTHERN BUILDING ABL SCIENCE, GOPALASAMUDRAM",1,Tamilaga Vettri Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, NORTHERN BUILDING NESAVALLER COLONY THERKKU KALLIDAIKURICHI",1,Tamilaga Vettri Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, NORTHERN BUILDING SOUTH SIDE NESAVALLER COLONY THERKKU KALLIDAIKURICHI",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, NORTHERN PORTION, IYANARKULAM VICKRAMASINGAPURAM",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, NORTHERN PORTION, NORTH SIDE CHERANMAHADEVI",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, NORTHERN SIDE, EASTERN BUILDING, PIRANCHERI",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, PUDHUR VEERAVANALLUR",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, SCHOOL INTEGRARATED CONFERENCE CENTRE, MANNARKOVIL.",1,Tamilaga Vettri Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, SOUTH NEW BUILDING, PATHAMADAI",1,Indian National Congress,1
"PANCHAYAT UNION PRIMARY SCHOOL, SOUTHERN BUILDING, PATHAMADAI",1,Indian National Congress,1
"PANCHAYAT UNION PRIMARY SCHOOL, SOUTHERN EAST NEW BUILDLING, GOPALASAMUDRAM",1,Tamilaga Vettri Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, SOUTHERN PORTION ALAGAPPAPURAM THERKKU VEERAVANALLUR",1,Tamilaga Vettri Kazhagam,1
"PANCHAYAT UNION PRIMARY SCHOOL, SOUTHERN PORTION, EAST SIDE CHERANMAHADEVI",1,All India Anna Dravida Munnetra Kazhagam,1
