Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
218,"BHARATHIYAR GOVT.HR.SEC. SCHOOL, ROOM NO.12 WESTERN BUILDING, NORTHERN PORTION, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 3 South Car Street",Indian National Congress,Tamilaga Vettri Kazhagam,23,3.43796711509716
219,"BHARATHIYAR GOVT.HR.SEC. SCHOOL, ROOM NO.4 WESTERN BUILDING, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 3 Antoniyar South Street",All India Anna Dravida Munnetra Kazhagam,Indian National Congress,23,3.146374829001368
220,"BHARATHIYAR GOVT HIGHER SEC SCHOOL, Room no.1, WESTERN PORTION, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 4 Balathadi Vinayagar Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,9,1.123595505617978
224,"ST.JOHNS MIDDLE SCHOOL, EASTERN PORTION VEERAVANALLUR","1 - Veeravanallur (P), Ward No 8 Kambalathan Sannathi Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,24,4.355716878402903
227,"BHARATHIYAR GOVT.HR.SEC SCHOOL(New Building), EAST BUILDING, MIDDLE PORTION, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 10 Renganathaswamy Koil South Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,28,4.516129032258064
230,"THIRUGNANA SAMBANTHAR MIDDLE SCHOOL, OLD BUILDING, SOUTHERN PORTION, VEERAVANALLUR","2 - Veeravanallur (P), Ward No 13 Barathinagar",Indian National Congress,Tamilaga Vettri Kazhagam,25,4.604051565377532
235,"T.D.T.A PRIMARY SCHOOL, REDDIYARPURAM THERKKU VEERAVANALLUR","1 - Therkku Veeravanallur (R.V), Therkku Veeravanallur (P), Block No 4 Rediyarpuram",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,27,4.047976011994002
236,"COMMUNITY HALL WEST SIDE ,VEERAVANALLUR","1 - Therkku Veeravanallur (R.V), Therkku Veeravanallur (P), Block No 4 Rediyarpuram",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,20,2.567394094993582
237,"PANCHAYAT UNION PRIMARY SCHOOL, SOUTHERN PORTION ALAGAPPAPURAM THERKKU VEERAVANALLUR","2 - Therkku Veeravanallur (R.V), Therkku Veeravanallur (P), Block No 2 Senkulam",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,16,3.162055335968379
240,"COMMUNITY HALL,PUDUKUDI","1 - Pudukudi (R.V)Pudukudi (P), Sowrastra Mela Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,33,4.114713216957606
242,"T.D.T.A PRIMARY SCHOOL, NEW BUILDING, PUDUKUDI","1 - Pudhukudi (R.V), Pudhukudi (P), Pudhucolony",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,14,2.180685358255452
244,"HINDU MIDDLE SCHOOL, EASTERN PORTION EAST SIDE VADAKKU KARUKURICHI","1 - Vadakku Karukurichi (R.V),Vadakku Karukurichi (P), Block No 3",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,23,3.622047244094488
245,"COMMITTEE HARIJAN PRIMARY SCHOOL ,VADAKKU KARUKURICHI","1 - Vadakku Karukurichi (R.V), Vadakku Karukurichi (P), Block no 5",Indian National Congress,Tamilaga Vettri Kazhagam,12,1.511335012594458
246,"COMMITTEE HARIJAN PRIMARY SCHOOL, WESTERN BUILDING, NORTHERN PORTION, VADAKKU KARUKURICHI.","1 - Vadakku Karukurichi (R.V), Vadakku Karukurichi (P), Block No 7",Tamilaga Vettri Kazhagam,Indian National Congress,3,0.821917808219178
250,"PANCHAYAT UNION MIDDLE SCHOOL, SOUTHERN BUILDING EASTERN PORTION, KUNIYUR","1 - Kuniyur (R.V), Kuniyur (P), Block No 4",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,3,0.4594180704441042
252,"COMMITTEE MIDDLE SCHOOL, EASTERN PORTION, CHERANMAHADEVI","1 - Cheranmahadevi (P), Ward No. 1 Pakthaprioyam Street",Indian National Congress,All India Anna Dravida Munnetra Kazhagam,30,4.901960784313726
259,"PANCHAYAT UNION PRIMARY SCHOOL, WESTERN BUILDING, SOUTHERN PORTION, CHERANMAHADEVI.","1 - Cheranmahadevi (P), Ward No.8 East Middle Street.",All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,0,0.0
271,"R.C.MIDDLE SCHOOL, NORTHERN BLOCK (EAST), ROOM
NO. 8thC CHERANMAHADEVI","1 - Cheranmahadevi (P), Ward No. 10 Punitha Annammal Street.",Tamilaga Vettri Kazhagam,Indian National Congress,26,3.389830508474576
275,"RAMASESHIER HR.SEC. SCHOOL, NORTHERN NEW BUILDING WEST ROOM, PATHAMADAI","1 - Patthamadai  (P), Ward No.3 Annanagar New Colony",Indian National Congress,All India Anna Dravida Munnetra Kazhagam,24,3.625377643504532
