Polling_Station_No,location_clean,polling areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
255,Madurai-625012,"1.Madurai (C) Avanyapuram (TP) Anna Nagar Ward 92
2.Madurai (C) Avanyapuram (TP) Arunagirinathar Kovil Street Ward 100
3.Madurai (C) Avanyapuram (TP) Karuthan Servai Street Ward 100,
4.Madurai (C) Avanyapuram (TP) E.B. Colony Ward 92",tamilaga vettri kazhagam,dravida munnetra kazhagam,17,2.390998593530239
261,Chinna Anuppanadi-625009,"1 - Madurai (C) Chinna Anuppanadi (R.V), Mettu Punjai Street Ward 89 (S.No.1 to 1080)",tamilaga vettri kazhagam,dravida munnetra kazhagam,38,4.465334900117509
290,Chinthamani-625009,"1.Madurai(C) Chinthamani (R.V) Mela Theru Ward 89, 2.Madurai(C) Chinthamani (R.V) Mela Theru Keela Street Ward 89, 3.Madurai(C) Chinthamani (R.V) Keela Street Ward 89, 4.Madurai(C) Chinthamani (R.V) Burma Colony Ward 89, 5.Madurai(C) Chinthamani (R.V) Ayyanarpuram Ward 89, 6.Madurai(C) Chinthamani (R.V) Mandaba Street Ward 89",tamilaga vettri kazhagam,dravida munnetra kazhagam,19,2.08105147864184
304,Puliyankulam -625201,"1.Puliyankulam (R.V) Puliyankulam (P) Puliyankulam Old Colony, New Colony Ward 1,
2.Puliyankulam (R.V) Puliyankulam (P) Kaliamman Kovil Street ,",dravida munnetra kazhagam,tamilaga vettri kazhagam,27,4.477611940298507
309,Silaiman-625201,"1.Silaiman (R.V) Silaiman (P) Pillaiar Kovil Street Ward 2,
2.Silaiman (R.V) Silaiman (P) Sangaiah Kovil Street Ward 2,
3.Silaiman (R.V) Silaiman (P) Amman Kovil Street Ward 2",tamilaga vettri kazhagam,dravida munnetra kazhagam,21,3.083700440528634
312,Govt. Hr.Sec.School Southern Side Silaiman 625201,"1.Silaiman (R.V) Silaiman (P) Main Road (Thangasami Nagar Opposite) Ward3 3
2.Silaiman (R.V) Silaiman (P) Thangasami Nagar Ward 3,
3.Silaiman (R.V) Silaiman (P) Gandhi Nagar Ward 3,
4.Silaiman (R.V) Silaiman (P) Arumugam Pillai Chamber Ward 3,
5.Silaiman (R.V) Silaiman (P) Malik Chamber",dravida munnetra kazhagam,tamilaga vettri kazhagam,7,1.631701631701632
313,East Side Panaiyur-625009,"1.Panaiyur (R.V) Panaiyur (P) North Street Ammachiar Street,
2.Panaiyur (R.V) Panaiyur (P) Andiyappa Pillai Street
3.Panaiyur (R.V) Panaiyur (P) Adaikalamman Koil Street,
4.Panaiyur (R.V) Panaiyur (P) Kanakku Pillai Street,
5.Panaiyur (R.V) Panaiyur (P) Post Office Road",tamilaga vettri kazhagam,dravida munnetra kazhagam,27,3.538663171690695
319,Perumanendal-625012,"1.Perumanenthal (R.V) Thirupparankundarm (P) Periyar Nagar Third Ward,
2 - Perumanendal (R.V) Thiruparankundram (P), Periyar Nagar 4th Ward (S.No.1 101 to 1308)",tamilaga vettri kazhagam,dravida munnetra kazhagam,14,1.585503963759909
320,Perumanendal-625012,"1 - Perumanendal (R.V) Thiruparankundram (P), Periyar Nagar 4th Ward (S.No.1 to 1100)",tamilaga vettri kazhagam,dravida munnetra kazhagam,20,2.312138728323699
321,Kusavankundu-625022,"1.Kusavankundu (R V) Kusavankundu (P) Kusavangundu Ward 1, 2.Kusavankundu (R V),Kusavankundu (P) Konarpatti Ward 1,
3.Kusavankundu (R V),Kusavankundu (P) Old Kusavankundu Ward 1,",dravida munnetra kazhagam,tamilaga vettri kazhagam,23,4.67479674796748
322,Kusavankundu-625022,"1.Ramankulam (R.V) Kusavankundu (P) Ramankulam Ward 1 , 2.Koodalsenkulam (R.V) Kusavankundu (P) Koodalsenkulam Ward 1 ,
3.Pappanodai (R.V) Kusavankundu (P) Kuthiraikuthi Ward 2",dravida munnetra kazhagam,tamilaga vettri kazhagam,22,4.206500956022944
324,"Chinna Udaippu-
625022","1.Pappanodai(R V),Kusavankundu (p) Pappanodai ward2 ,",all india anna dravida munnetra kazhagam,all india anna dravida munnetra kazhagam,0,0.0
336,Valayapatti-625022,"1.Valaiyapatti (R.V) Valaiyapatti (P) Valaiyapatti Ward 2 ,
2.Valaiyapatti (R.V) Valaiyapatti (P) Mela Theru Ward 3 ,",dravida munnetra kazhagam,tamilaga vettri kazhagam,27,3.638814016172507
338,"Near
Gate Periyaalangulam-625022","1.Periya Alankulam (R.V) Periya Alankulam (P) Periya Alankulam Ward 1,",tamilaga vettri kazhagam,dravida munnetra kazhagam,6,0.6012024048096193
341,Othai Alangulam-625022,"1.Periya alankulam (R.V) Periya alankulam (P) Othai alankulam Ward 1,
2.Othai alankulam (R.V) Periya alankulam (P) Othai alankulam Ward 2,",tamilaga vettri kazhagam,dravida munnetra kazhagam,9,0.8982035928143712
349,Nallur-625022,"1.Nallur (R.V) Nallur (P) South Street,
2.Nallur (R.V) Nallur (P) Mela Street,",dravida munnetra kazhagam,tamilaga vettri kazhagam,24,4.363636363636364
352,Nedunkulam-625009,"1.Virathanur (R.V) Virathanur (P) Nedunkulam,",dravida munnetra kazhagam,tamilaga vettri kazhagam,10,1.408450704225352
