Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
14,Nagamalaipudukkottai -625019.,331,0,tamilaga vettri kazhagam,53,0.0,No
130,Nilaiyur-625005,587,0,tamilaga vettri kazhagam,156,0.0,No
285,Kombadi -625022,458,0,tamilaga vettri kazhagam,59,0.0,No
13,Karadipatti-625019,691,0,tamilaga vettri kazhagam,69,0.0,No
108,Tiruparankundram - 625005,684,0,tamilaga vettri kazhagam,172,0.0,No
67,Thirunagar-625006,828,0,dravida munnetra kazhagam,431,0.0,No
29,Vadivelkarai-625019.,682,0,tamilaga vettri kazhagam,88,0.0,No
260,Panaiyur.-625009,836,0,tamilaga vettri kazhagam,157,0.0,No
69,West Building Middle Portion (South Side) Thirunagar-625006,444,0,tamilaga vettri kazhagam,63,0.0,No
116,Thiruparankundram-625005,782,0,tamilaga vettri kazhagam,47,0.0,No
228,Mela Anuppanadi-625009,720,0,tamilaga vettri kazhagam,194,0.0,No
76,Thirunagar-625006,622,0,tamilaga vettri kazhagam,113,0.0,No
231,(Near Anuppanadi Bus Stand)-625009,565,0,tamilaga vettri kazhagam,120,0.0,No
232,Chinthamani-625009.,630,0,tamilaga vettri kazhagam,119,0.0,No
198,Avaniapuram-625012,746,0,tamilaga vettri kazhagam,197,0.0,No
234,Chinthamani Road -625009.,606,0,tamilaga vettri kazhagam,180,0.0,No
55,Vilacheri-625006,851,0,tamilaga vettri kazhagam,64,0.0,No
236,North Facing Chinthamani-625009,542,0,dravida munnetra kazhagam,30,0.0,No
54,Thanakkankulam-625006,855,0,tamilaga vettri kazhagam,35,0.0,No
195,Avaniapuram-625012.,780,0,tamilaga vettri kazhagam,111,0.0,No
81,Thirunagar-625006,646,0,tamilaga vettri kazhagam,116,0.0,No
82,Thirunagar-625006,677,0,tamilaga vettri kazhagam,134,0.0,No
47,Thanakkankulam-625006,577,0,tamilaga vettri kazhagam,24,0.0,No
192,Avaniapuram-625012.,575,0,tamilaga vettri kazhagam,109,0.0,No
191,Avaniyapuram.-625012,754,0,tamilaga vettri kazhagam,50,0.0,No
190,Avaniapuram-625012.,625,0,tamilaga vettri kazhagam,100,0.0,No
