Location and Name of Building in Which Polling Station Located,Total_Valid_Votes_In_Locality,Total_Independent_Votes_In_Locality,Independent_Vote_Share_%
"Pushbalatha Matric Higher Secondary
School, 5th Std ‘C’ Class Room Palayamkottai",707,5,0.7072135785007072
"St. Joseph Girls Hr. Sec. School , Western Builidng, East Side. N.G.O. A. Colony, Palayamkottai",566,4,0.7067137809187279
"Muslim Hr.sec. School South Block Room No
: 5, melapalayam",714,5,0.700280112044818
"St Johns Higher Secondary School,PTA Building Room No 49 Palayamkottai",870,6,0.6896551724137931
"Corporation Girls Hr.sec.School, ,Main Building Western Side, Meenakshipuram,",726,5,0.6887052341597797
"Sri Jeyandra Saraswathi Swamigal SilverJubilee Hr. Sec. School , Valli Mandram Hall No. 4 Maharaja Nagar",304,2,0.6578947368421052
"Corporation Community Hall ,Southern Wing Scavenger’s Colony Palayamkottai",628,4,0.6369426751592357
"St.Joseph Primary School , Western Portion
R.T.O Office N.G.O.B Colony, Palayamkottai",790,5,0.6329113924050633
"M.D.T Hindu College Hr. Sec.School, West Building, 4th Room From North, Tirunelveli Junction.",644,4,0.6211180124223602
"South Mohideen Jamath Primary School, 2nd and 3rdClss room, New Building , Western Portion,South Mohideen Pallivasal Street, Melapalayam",336,2,0.5952380952380952
"St.Joseph Girls Hr.Sec.School , Eastern Building 12th B Class Room, N.G.O. A. Colony.",677,4,0.5908419497784343
"M.D.T Hindu College Hr. Sec.School, West Building,2nd Room From North, Tirunelveli Junction",528,3,0.5681818181818182
"Sri Ganesamoorthy Middle School,Southern Building , 8th Std Class Room, Maruthupandiar 3rd Street Kurichi, Melapalayam",535,3,0.5607476635514018
"Hasanathuil Ulum Primaryschool, ,Southern Portion Ground Floor, Moolanahamedpillai Street Melapalayam",538,3,0.5576208178438662
"Sri Ganesamoorthy Middle School, ,Southern Building , 1st Room, Maruthupandiar 3rd Street Kurichi, Melapalayam",719,4,0.5563282336578581
